xuhao   VARCHAR(50),gongsi VARCHAR(50),diqu VARCHAR(50),shuzi1 INT,shuzi2 INT,shuzi3 INT,shuzi4 INT,riqi TIMESTAMP,flag CHAR,url  VARCHAR(5000)
1788503573,小林轩阁,"江苏 无锡",148,161,216,16,"2010-08-06 16:06:37",f,爱好收藏核雕，玉器，紫砂，珍贵木料工艺品等
2929423984,与体育无关,"福建 厦门",163,358,1022,9,"2012-08-09 08:49:11",f,从事体育行业的收藏爱好者。
1743540744,于洪庆,北京,18897,383,1167,1,"2010-05-18 20:08:38",t,心静则万物生！
1881126063,小月木目,四川,130,138,454,14,"2010-12-03 14:52:48",f,单位拿工资的农民
2722480553,红木工艺品与风水,"广西 防城港",1543,1046,568,37,"2012-04-28 10:49:14",f,批发红木家具，工艺品。牛角产品。有需要可以联系我！http://jianjunjj.taobao.com/
2380087260,东南风10级,"江苏 南通",220,455,530,44,"2011-09-08 11:01:41",f,突然我的心，想要一次旅行，没有目的地，只想先离开这里。。。.
2105046181,宸妈咪力宝贝,"北京 海淀区",127,120,262,131,"2011-04-25 03:37:26",f,新妈咪，幸福ing！
1098779127,fantasycy,北京,25,116,599,94,"2011-08-08 17:27:11",f,
2005322653,嘻嘻哈哈924,"北京 朝阳区",188,473,861,157,"2011-03-03 22:06:27",f,
2526170371,唱吧周宇春,"北京 海淀区",135,293,191,3,"2011-12-12 14:21:07",f,"有了寄托 心才会平静 有了爱好 心情会更好 收藏的至乐 只有有见识的人才有 还有歌唱"
1577559285,無某人,"福建 莆田",12,311,116,353,"2010-06-21 13:34:29",f,
2683082191,Zeus左左,"江苏 徐州",245,518,3217,21,"2012-03-26 20:24:52",f,2012～～这就是现实，不要在彷徨，相信自己，现在的努力，以后一定会更好的！加油吧！南无阿弥陀佛！
1407770413,大垫儿,其他,635,325,3938,0,"2010-05-11 19:31:44",f,长的都不稳定，写出来的代码能稳定？
2727932817,希希I爸爸,"山西 太原",88,46,457,3,"2012-05-10 16:55:44",f,光阴如水，可以磨平男人性格中的棱角，但浇不灭男人心中的热血
2349799777,时光C远行,北京,112,492,72,90,"2011-09-09 09:50:42",f,
2263969532,W海南黄花梨,"海南 海口",266,133,245,0,"2011-07-23 21:22:12",f,我孤独，我享受``
2275887213,王_昭毅,"广东 韶关",469,384,3364,367,"2011-07-30 00:14:27",f,爱文玩的九零后。
2128076633,橘红色的刹那,"四川 成都",293,415,1856,5,"2011-05-11 11:54:59",f,一切质感。
2975446042,北大BiMBA品茗收藏俱乐部,"北京 朝阳区",178,172,277,1,"2012-08-29 14:31:53",f,"北大BiMBA 2012开创的品茗收藏俱乐部。以茶会友，聊收藏，谈理想，品人生！"
1759454203,田面面,北京,27,118,79,51,"2010-06-18 16:10:20",f,
1910583450,半枯半榕,"上海 长宁区",132,447,462,2,"2010-12-29 16:21:08",f,知行合一
2617679505,老微家小博,"辽宁 大连",11,123,0,0,"2012-02-15 12:22:22",f,
2043627144,我的油耗2012,"江苏 苏州",294,437,629,37,"2011-05-21 23:42:44",f,执于一念，将受困于一念；一念放下，会自在于心间。
1850621610,CHANG-CHAK-FAI,"澳门 花地玛堂区",203,911,1409,2,"2010-10-12 16:56:31",f,人為善，福雖未至，禍已遠離;人為惡，禍雖未至，福已遠離
1279890450,御林军郑时,"北京 西城区",1148,526,358,0,"2011-07-05 09:21:07",f,
2925306363,周诚上海,其他,86,158,84,12,"2012-08-20 14:52:41",f,
2113432033,木木阿东,"福建 福州",422,375,2692,9,"2011-04-30 23:53:11",f,一个人的错…
2127841815,张郎大卫,"天津 大港区",148,313,750,39,"2011-05-10 21:31:00",f,提笼架鸟，享受生活。
2418650815,寒山拾得-静妙堂,"海南 海口",276,769,142,32,"2011-10-19 23:21:58",f,寒山拾得堂主，明式家具设计爱好者。主营海南黄花梨木，海南沉香。喜欢传统文化，喜欢静坐、尝酒、试茶、阅书、临帖、对画、焚香、莳花、候月、等等！
1740868523,白子蠻,云南,305,1022,472,487,"2010-05-13 10:34:56",f,沈默的共謀者
2823724597,收購出售海南黃花梨,其他,7,23,12,0,"2012-06-20 17:41:29",f,地址：海南省東方市黃花梨。聯繫電話：１８７８９２２７７７７符先生。
1685704047,松鼠仔小楠,"辽宁 大连",40,150,11,10,"2011-12-07 11:48:55",f,
1890246507,红木家具保养,"北京 朝阳区",90,170,5,0,"2011-01-05 11:03:37",f,"店铺 http://t.cn/zjyoUxc"
2707599015,锦城紫檀馆,"北京 朝阳区",82,173,221,2,"2012-04-13 21:28:30",f,"锦城紫檀馆拥有紫檀、海黄、越黄等名贵木雕工艺品，并有奇石翡翠、名人字画、红木家具等藏品 北京店：北京朝阳区四惠桥东国粹苑A座一层"
1764978504,swellgod,"上海 长宁区",1957,406,2324,10,"2010-06-22 11:43:03",f,联系电话110
2839124612,小哈面包超人,"江苏 南京",74,150,60,12,"2012-06-19 10:17:57",f,
2870585733,东方玉文化,"山东 青岛",127,323,181,4,"2012-07-05 18:27:49",f,"本人是东北辽宁岫岩人 对玉石有着解不开的缘分 现在从事宝玉石行业 愿广结天下爱玉懂玉藏玉人士••••••"
2894817291,乐乐他爸jww,"北京 海淀区",61,103,286,10,"2012-07-20 23:45:15",f,一名普通的医务工作者，酷爱乒乓球！喜欢紫橝更爱花梨！
2119625824,黄花梨商贸--饶峻炜,"广西 防城港",2271,389,69,0,"2011-04-29 08:59:34",f,"黄花梨 中国第一神木  长8.2米 重1.65吨 大头直径68CM 小头56CM 更多现货请加QQ346537565查看 电话15007708185 18677038185 饶峻炜"
2286464200,白鑫鑫2288,"上海 浦东新区",207,247,363,2,"2011-08-04 16:52:20",f,
2292859667,卡卡跑王,"北京 朝阳区",149,1107,266,2,"2011-08-08 21:35:09",f,
3052514895,海南黄花梨收藏协会,"海南 海口",87,126,17,0,"2012-10-18 09:43:41",f,如有精美海南黄花梨图片，请私信或@我们，长期征收海黄图片。请发图片后请著名提供者姓名，我们整理完后，会出一本关于海黄图片的书。
2696992813,安徽松园红木,"安徽 合肥",243,853,189,0,"2012-04-06 22:41:35",t,热烈庆祝广州松园木雕家具厂成立30周年。
3032427855,伽南草堂主人,"广东 广州",149,1027,221,4,"2012-10-09 21:07:44",f,80后创业者，根雕奇石手串紫砂藏式工艺品等无所不包，钟情于茶道香道，喜好古玩书画。闽人，在穗七载。曾做过研发、销售。
2867690102,酸辣笋尖qq,吉林,0,36,0,0,"2012-07-12 15:54:44",f,
2737009445,胡中岳-yang,"天津 滨海新区",50,226,33,29,"2012-05-25 21:34:22",f,
2086265443,散步的小子,"北京 朝阳区",215,1401,1600,113,"2011-04-14 15:31:17",f,"健康产业！
原则：把简单的产品卖给更多的人！"
2242965382,闲-山,"广西 柳州",133,475,87,228,"2011-07-13 00:04:30",f,
1802177815,手机用户1802177815,江西,104,155,826,3,"2010-08-25 10:01:25",f,
2820338044,木氏前缘,"福建 福州",1133,2581,489,0,"2012-06-02 17:33:58",f,"淘宝网：http://shop71851933.taobao.com 主营：黄花梨，印度小叶紫檀，血龙木，老山檀，金丝楠,花奇楠等"
2132100373,正宗古哥,"广东 深圳",189,430,1218,313,"2011-05-13 15:05:47",f,啊，咋子嘛！
2297338727,贾森宇SENYU,"北京 朝阳区",152,619,134,123,"2011-08-11 11:29:12",f,橄榄核雕、文玩核桃、金刚菩提我的最爱
1217975833,Horological牛宝宝,"海外 英国",137,221,439,3,"2011-08-30 17:13:56",f,时计专家？别做梦了，那都是传说。聊表寸心，为人思表。
2571802192,邹志浩微博,"江苏 苏州",300,220,413,59,"2011-11-29 19:28:39",t,苏州婚庆礼仪行业协会副会长，传世婚典婚庆礼仪有限公司、三生石婚礼策划会馆掌门人
1627393720,魂牵个梦绕,"北京 东城区",409,1063,2335,23,"2011-05-26 15:22:36",f,低头的温柔总在邂逅的一霎那
1944976372,悟涛V,"上海 宝山区",311,215,393,66,"2011-05-19 15:39:12",f,悟则通吾通天下
2859833600,平江路木香阁,"江苏 苏州",195,464,208,4,"2012-07-04 12:34:03",f,"苏州平江路448号木香阁 2294005322"
1276554621,chineselawyer陈,"浙江 杭州",231,1443,1472,14,"2011-04-02 08:43:05",f,独立观察，品味人生。
2875010570,香迪-红馆,"四川 成都",352,945,541,4,"2012-07-20 09:08:39",f,继承和发扬中国传统文化，倡导有文化内涵的中式生活。
1681433703,印度檀香紫檀,"北京 朝阳区",1168,2492,445,61,"2010-01-18 12:22:17",f,以中国传统文化、中国古典家具、紫檀、黄花黎、结善缘、成佛果！
1562417061,剑锋F,"浙江 杭州",305,395,707,28,"2011-03-17 19:46:31",f,"属于风的，那就飞翔吧... 属于海洋的，那就汹涌吧..."
2667524294,刘如意L,"浙江 宁波",38,61,49,10,"2012-01-15 23:14:29",f,
1851492255,快乐庭少,"广东 佛山",147,136,1142,2,"2010-11-08 11:02:37",f,
2173715755,Thun2011,天津,38,124,134,23,"2011-06-12 06:19:28",f,
2231659091,前行的青年人,"北京 海淀区",157,797,712,186,"2011-07-06 23:38:37",f,"走着 走着 路就有了 虽一时受挫 但不影响前进的方向"
2249875974,黑马哥HM,其他,91,415,531,177,"2011-07-16 09:18:37",f,你可以不爱我，但请不要伤害我！
2115396802,天开园--红木文化园,"福建 福州",1322,313,730,0,"2011-04-26 16:53:58",t,2月7日，由天开园和建行福建省分行共同举办的“天开园红木家具龙卡首发暨合作协议签约仪式”圆满落幕。至此，国内首张红木家具联名卡正式发行，...
2414924797,BaBuBla,"北京 海淀区",160,324,1299,317,"2011-10-16 19:44:21",f,我要做远方忠诚的儿子，物质的短暂情人。
